snip,slice_num,coord_num,beta,pval,is_bonf
22:29430987_CTTT_C,1,39,0.0308487,0.172923,False
22:29430987_CTTT_C,1,40,0.0248495,0.273434,False
22:29430987_CTTT_C,1,41,0.0282141,0.21291,False
22:29430987_CTTT_C,1,42,0.0313827,0.166167,False
22:29430987_CTTT_C,1,43,0.030624,0.178134,False
22:29430987_CTTT_C,1,44,0.0282982,0.212353,False
22:29430987_CTTT_C,1,45,0.0424342,0.0618186,False
22:29430987_CTTT_C,1,46,0.0275516,0.226125,False
22:29430987_CTTT_C,1,47,0.0338993,0.136926,False
22:29430987_CTTT_C,1,48,0.0315409,0.166958,False
22:29430987_CTTT_C,1,49,0.029841,0.191115,False
22:29430987_CTTT_C,1,50,0.0383232,0.0935517,False
22:29430987_CTTT_C,1,51,0.0360881,0.115277,False
22:29430987_CTTT_C,1,52,0.0311443,0.174094,False
22:29430987_CTTT_C,1,53,0.0315136,0.169997,False
22:29430987_CTTT_C,1,54,0.031663,0.168769,False
22:29430987_CTTT_C,1,55,0.0354503,0.124802,False
22:29430987_CTTT_C,1,56,0.0380177,0.100043,False
22:29430987_CTTT_C,1,57,0.0348256,0.132325,False
22:29430987_CTTT_C,1,58,0.0388435,0.0942252,False
22:29430987_CTTT_C,1,59,0.0329956,0.155601,False
22:29430987_CTTT_C,1,60,0.029259,0.209102,False
22:29430987_CTTT_C,1,61,0.033092,0.156174,False
22:29430987_CTTT_C,1,62,0.0349342,0.13593,False
22:29430987_CTTT_C,1,63,0.0362329,0.121868,False
22:29430987_CTTT_C,1,64,0.0313443,0.181917,False
22:29430987_CTTT_C,1,65,0.0304196,0.196228,False
22:29430987_CTTT_C,1,66,0.0356532,0.130759,False
22:29430987_CTTT_C,1,67,0.0409023,0.0833048,False
22:29430987_CTTT_C,1,68,0.0279747,0.237602,False
22:29430987_CTTT_C,1,69,0.0302644,0.201514,False
22:29430987_CTTT_C,1,70,0.0324405,0.172303,False
22:29430987_CTTT_C,1,71,0.0339888,0.15352,False
22:29430987_CTTT_C,1,72,0.0298375,0.211315,False
22:29430987_CTTT_C,1,73,0.0288486,0.228462,False
22:29430987_CTTT_C,1,74,0.0261445,0.275317,False
22:29430987_CTTT_C,1,75,0.0357047,0.137791,False
22:29430987_CTTT_C,1,76,0.0393446,0.103197,False
22:29430987_CTTT_C,1,77,0.0326394,0.177209,False
22:29430987_CTTT_C,1,78,0.0380194,0.11644,False
22:29430987_CTTT_C,1,79,0.038531,0.112343,False
22:29430987_CTTT_C,1,80,0.0370867,0.127691,False
22:29430987_CTTT_C,1,81,0.0401549,0.100314,False
22:29430987_CTTT_C,1,82,0.0433028,0.0765555,False
22:29430987_CTTT_C,1,83,0.0458484,0.0612586,False
22:29430987_CTTT_C,1,84,0.056004,0.0227957,False
22:29430987_CTTT_C,1,85,0.0439586,0.0746416,False
22:29430987_CTTT_C,1,86,0.0417765,0.0914515,False
22:29430987_CTTT_C,1,87,0.0479883,0.0531535,False
22:29430987_CTTT_C,1,88,0.0530883,0.0329591,False
22:29430987_CTTT_C,1,89,0.0500378,0.0446264,False
22:29430987_CTTT_C,1,90,0.049143,0.0490057,False
22:29430987_CTTT_C,1,91,0.0458371,0.0669738,False
22:29430987_CTTT_C,1,92,0.0479385,0.0564233,False
22:29430987_CTTT_C,1,93,0.0556261,0.0270539,False
22:29430987_CTTT_C,1,94,0.0522309,0.0382477,False
22:29430987_CTTT_C,1,95,0.0521322,0.0395044,False
22:29430987_CTTT_C,1,96,0.0535702,0.0345022,False
22:29430987_CTTT_C,1,97,0.0615719,0.015304,False
22:29430987_CTTT_C,1,98,0.0571415,0.0246165,False
22:29430987_CTTT_C,1,99,0.0499378,0.0499304,False
22:29430987_CTTT_C,1,100,0.0488002,0.0562147,False
22:29430987_CTTT_C,1,101,0.0527056,0.0395259,False
22:29430987_CTTT_C,1,102,0.0568115,0.0269817,False
22:29430987_CTTT_C,1,103,0.0569113,0.0271567,False
22:29430987_CTTT_C,1,104,0.0535461,0.0380913,False
22:29430987_CTTT_C,1,105,0.0609945,0.0184862,False
22:29430987_CTTT_C,1,106,0.0643541,0.0131189,False
22:29430987_CTTT_C,1,107,0.0587824,0.0239129,False
22:29430987_CTTT_C,1,108,0.053812,0.0391335,False
22:29430987_CTTT_C,1,109,0.0658782,0.0118552,False
22:29430987_CTTT_C,1,110,0.0687892,0.00872538,False
22:29430987_CTTT_C,1,111,0.0665342,0.0114696,False
22:29430987_CTTT_C,1,112,0.0667726,0.0112802,False
22:29430987_CTTT_C,1,113,0.0688825,0.00918122,False
22:29430987_CTTT_C,1,114,0.0711988,0.00725575,False
22:29430987_CTTT_C,1,115,0.082089,0.00201493,False
22:29430987_CTTT_C,1,116,0.0744398,0.00521353,False
22:29430987_CTTT_C,1,117,0.0731633,0.00613887,False
22:29430987_CTTT_C,1,118,0.0733036,0.00612724,False
22:29430987_CTTT_C,1,119,0.0773536,0.00391358,False
22:29430987_CTTT_C,1,120,0.0800719,0.00291277,False
22:29430987_CTTT_C,1,121,0.0877082,0.00114127,False
22:29430987_CTTT_C,1,122,0.0913802,0.000708739,False
22:29430987_CTTT_C,1,123,0.0855467,0.00156635,False
