snip,slice_num,coord_num,beta,pval,is_bonf
22:36419124_AAC_A,1,39,-0.135801,0.013396,False
22:36419124_AAC_A,1,40,-0.138505,0.0118616,False
22:36419124_AAC_A,1,41,-0.120304,0.0285748,False
22:36419124_AAC_A,1,42,-0.152632,0.00550488,False
22:36419124_AAC_A,1,43,-0.163252,0.00308745,False
22:36419124_AAC_A,1,44,-0.144124,0.00883928,False
22:36419124_AAC_A,1,45,-0.144255,0.00886974,False
22:36419124_AAC_A,1,46,-0.144076,0.00907795,False
22:36419124_AAC_A,1,47,-0.157818,0.00431365,False
22:36419124_AAC_A,1,48,-0.14279,0.00990732,False
22:36419124_AAC_A,1,49,-0.149507,0.00693731,False
22:36419124_AAC_A,1,50,-0.135869,0.0142575,False
22:36419124_AAC_A,1,51,-0.14098,0.0112101,False
22:36419124_AAC_A,1,52,-0.135678,0.0146581,False
22:36419124_AAC_A,1,53,-0.139111,0.012529,False
22:36419124_AAC_A,1,54,-0.120639,0.0306708,False
22:36419124_AAC_A,1,55,-0.129232,0.0210843,False
22:36419124_AAC_A,1,56,-0.149428,0.00770779,False
22:36419124_AAC_A,1,57,-0.15033,0.00740805,False
22:36419124_AAC_A,1,58,-0.130121,0.0208422,False
22:36419124_AAC_A,1,59,-0.121023,0.0317996,False
22:36419124_AAC_A,1,60,-0.127769,0.0237656,False
22:36419124_AAC_A,1,61,-0.122319,0.0307264,False
22:36419124_AAC_A,1,62,-0.147235,0.00958284,False
22:36419124_AAC_A,1,63,-0.14681,0.00977322,False
22:36419124_AAC_A,1,64,-0.131398,0.0210736,False
22:36419124_AAC_A,1,65,-0.148705,0.00920832,False
22:36419124_AAC_A,1,66,-0.165803,0.00377054,False
22:36419124_AAC_A,1,67,-0.147487,0.0100506,False
22:36419124_AAC_A,1,68,-0.168128,0.00343563,False
22:36419124_AAC_A,1,69,-0.149026,0.00952769,False
22:36419124_AAC_A,1,70,-0.159941,0.00554081,False
22:36419124_AAC_A,1,71,-0.144105,0.0126217,False
22:36419124_AAC_A,1,72,-0.162781,0.0049392,False
22:36419124_AAC_A,1,73,-0.177325,0.00227695,False
22:36419124_AAC_A,1,74,-0.174733,0.00265229,False
